date,USSW10.spot,DXY.spot,XAU.spot,XAG.spot,CL1.spot,TYA.spot,NGA.spot,C.spot,USSW10.rvol10D,DXY.rvol10D,XAU.rvol10D,XAG.rvol10D,CL1.rvol10D,TYA.rvol10D,NGA.rvol10D,C.rvol10D,USSW10.rvol30D,DXY.rvol30D,XAU.rvol30D,XAG.rvol30D,CL1.rvol30D,TYA.rvol30D,NGA.rvol30D,C.rvol30D,CL1.ivol,TYA.ivol,NGA.ivol,C.ivol,USSW10.volume,DXY.volume,XAU.volume,XAG.volume,CL1.volume,TYA.volume,NGA.volume,C.volume,VIX.spot,SPX.spot,SX5E.spot,DAX.spot,NKY.spot,VIX.volume,SPX.volume,SX5E.volume,DAX.volume,NKY.volume,VIX.ivol,SPX.ivol,SX5E.ivol,DAX.ivol,NKY.ivol,VIX.ivol90,SPX.ivol90,SX5E.ivol90,DAX.ivol90,NKY.ivol90,VIX.rvol10D,SPX.rvol10D,SX5E.rvol10D,DAX.rvol10D,NKY.rvol10D,VIX.rvol30D,SPX.rvol30D,SX5E.rvol30D,DAX.rvol30D,NKY.rvol30D,VIX.putcallvolumeratio,SPX.putcallvolumeratio,SX5E.putcallvolumeratio,DAX.putcallvolumeratio,NKY.putcallvolumeratio
1/17/2005,4.605,83.24,422.13,6.61,48.38,#N/A N/A,#N/A N/A,#N/A N/A,12.15,9.41,10.48,1/23/1900,34.77,#N/A N/A,#N/A N/A,#N/A N/A,1/16/1900,9.93,14.04,41.4,47.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,73815,#N/A N/A,#N/A N/A,#N/A N/A,12.43,1184.52,2963.06,4245.51,11487.1,#N/A N/A,1191153792,535573056,67385272,1005216960,#N/A N/A,13.8878,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.9817,#N/A N/A,#N/A N/A,#N/A N/A,36.56,10.15,10.66,12.26,11.18,54.88,9.19,9.16,10.72,13.02,#N/A N/A,1.9371,1.3475,1.0237,0.9842
1/18/2005,4.571,83.36,423.05,6.64,48.38,#N/A N/A,#N/A N/A,#N/A N/A,12.38,9.4,10.63,1/23/1900,31.63,#N/A N/A,#N/A N/A,#N/A N/A,1/15/1900,9.67,12.51,30.19,46.62,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,78942,#N/A N/A,#N/A N/A,#N/A N/A,12.47,1195.98,2962.43,4250.71,11423.26,#N/A N/A,1405819648,739283136,92211472,1064891776,#N/A N/A,13.5721,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.5517,#N/A N/A,#N/A N/A,#N/A N/A,37.58,9.73,9.58,11.67,11.43,54.58,9.64,9.13,10.66,12.33,#N/A N/A,1.9371,1.1041,1.2445,1.4001
1/19/2005,4.5535,83.6,423.15,6.59,47.55,#N/A N/A,#N/A N/A,#N/A N/A,12.39,8.72,8.18,1/22/1900,32.99,#N/A N/A,#N/A N/A,#N/A N/A,1/14/1900,9.68,12.38,26.28,47.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,68841,#N/A N/A,#N/A N/A,#N/A N/A,13.18,1184.63,2959.9,4245.55,11405.34,#N/A N/A,1346898816,633739840,117149304,895703808,#N/A N/A,13.9786,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.0919,#N/A N/A,#N/A N/A,#N/A N/A,51.96,11.02,8.91,9.92,10.85,56.13,9.48,8.71,10.59,12.11,#N/A N/A,1.9994,1.17,0.9093,1.4671
1/20/2005,4.543,83.84,422.35,6.55,46.91,#N/A N/A,#N/A N/A,#N/A N/A,12.38,8.36,7.51,1/22/1900,25.41,#N/A N/A,#N/A N/A,#N/A N/A,1/14/1900,9.52,12.24,26.31,45.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,34817,#N/A N/A,#N/A N/A,#N/A N/A,13.83,1175.41,2937.71,4220.43,11284.77,#N/A N/A,1465230720,720138112,99508536,862592192,#N/A N/A,14.1915,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.1242,#N/A N/A,#N/A N/A,#N/A N/A,56.22,11.55,9.15,9.67,11.63,56.96,9.66,8.93,10.72,12.29,#N/A N/A,1.5926,1.4546,1.3888,0.8984
1/21/2005,4.525,83.26,427.25,6.79,48.53,#N/A N/A,#N/A N/A,#N/A N/A,12.08,9.11,9.46,1/29/1900,29.85,#N/A N/A,#N/A N/A,#N/A N/A,1/14/1900,9.52,12.32,28.36,46.55,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116433,#N/A N/A,#N/A N/A,#N/A N/A,14.36,1167.87,2940.87,4213.7,11238.37,#N/A N/A,1411054336,750643584,126657272,746154560,#N/A N/A,14.2874,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.3509,#N/A N/A,#N/A N/A,#N/A N/A,58.96,11.89,9.26,9.68,11.56,57.38,9.67,8.58,10.04,11.93,#N/A N/A,1.5549,2.2424,1.1632,0.7348
1/24/2005,4.502,83.24,427.35,6.82,48.81,#N/A N/A,#N/A N/A,#N/A N/A,11.89,8.9,9.34,1/26/1900,29.33,#N/A N/A,#N/A N/A,#N/A N/A,1/14/1900,9.5,12.16,28.23,46.47,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,87144,#N/A N/A,#N/A N/A,#N/A N/A,14.65,1163.75,2937.83,4201.89,11289.49,#N/A N/A,1317752320,908046656,118396832,754580544,#N/A N/A,14.3244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.3208,#N/A N/A,#N/A N/A,#N/A N/A,57,11.49,7.88,8.01,10.27,57.43,9.71,8.57,9.95,11.88,#N/A N/A,2.7287,1.029,1.2738,1.293
1/25/2005,4.5795,83.99,422.2,6.695,49.64,#N/A N/A,#N/A N/A,#N/A N/A,16.24,7.04,10.09,1/28/1900,29.69,#N/A N/A,#N/A N/A,#N/A N/A,1/15/1900,9.43,12.03,28.31,44.08,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,84385,#N/A N/A,#N/A N/A,#N/A N/A,14.06,1168.41,2958.61,4233.95,11276.91,#N/A N/A,1364983936,769951488,101302736,816084160,#N/A N/A,14.1064,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.1612,#N/A N/A,#N/A N/A,#N/A N/A,63.43,11.74,7.06,6.64,9.8,58.71,9.36,8.72,9.69,10.79,#N/A N/A,2.8521,0.8061,0.8652,1.0636
1/26/2005,4.576,83.3,426.8,6.785,48.78,#N/A N/A,#N/A N/A,#N/A N/A,13.13,8.95,11.87,1/28/1900,32.62,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.39,12.41,27.68,44.68,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,124053,#N/A N/A,#N/A N/A,#N/A N/A,13.44,1174.07,2956.43,4214.12,11376.57,#N/A N/A,1414472320,752122304,141212224,1082516736,#N/A N/A,13.8169,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.9594,#N/A N/A,#N/A N/A,#N/A N/A,62.35,11.88,6.89,7.23,10.36,60.39,9.41,8.7,9.75,10.94,#N/A N/A,3.0085,1.3072,0.7949,2.1633
1/27/2005,4.595,83.43,426.2,6.8,48.84,#N/A N/A,#N/A N/A,#N/A N/A,11.76,8.55,11.51,1/24/1900,27.22,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.32,11.97,27.33,44.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,93860,#N/A N/A,#N/A N/A,#N/A N/A,13.24,1174.55,2970.81,4216.41,11341.31,#N/A N/A,1436532608,910245632,146152176,858579840,#N/A N/A,13.4465,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.6048,#N/A N/A,#N/A N/A,#N/A N/A,62.72,11.01,7.03,6.67,9.58,59.8,9.38,7.73,9.67,11.04,#N/A N/A,3.305,2.4619,1.3162,0.7371
1/28/2005,4.524,83.48,427,6.775,47.18,#N/A N/A,#N/A N/A,#N/A N/A,14.35,8.4,11.36,1/24/1900,33.17,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.1,11.92,27.25,43.27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117657,#N/A N/A,#N/A N/A,#N/A N/A,13.24,1171.36,2955.89,4201.81,11320.58,#N/A N/A,1548702976,778189952,89118952,878028800,#N/A N/A,13.4644,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.6175,#N/A N/A,#N/A N/A,#N/A N/A,59.01,10.38,7.17,6.47,9.05,59.74,9.39,7.82,9.61,10.65,#N/A N/A,2.0138,1.9133,0.6612,1.2375
1/31/2005,4.5125,83.57,422.6,6.725,48.2,#N/A N/A,#N/A N/A,#N/A N/A,13.98,8.39,12.92,1/25/1900,35.66,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.06,12.22,27.11,43.64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116292,#N/A N/A,#N/A N/A,#N/A N/A,12.82,1181.27,2984.59,4254.85,11387.59,#N/A N/A,1429739392,727480128,114619056,881557568,#N/A N/A,13.0333,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1577,#N/A N/A,#N/A N/A,#N/A N/A,62.71,9.98,8.94,9.82,9.51,60.03,9.56,8.27,9.61,10.71,#N/A N/A,1.4846,1.3123,0.962,0.8855
2/1/2005,4.5245,83.45,421.13,6.72,47.12,#N/A N/A,#N/A N/A,#N/A N/A,14.05,8.27,13.04,1/24/1900,36.58,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.08,12.2,26.87,42.13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,89654,#N/A N/A,#N/A N/A,#N/A N/A,12.03,1189.41,3008.85,4279.97,11384.4,#N/A N/A,1430280704,763757696,94737544,1039191296,#N/A N/A,12.7991,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.7871,#N/A N/A,#N/A N/A,#N/A N/A,63.07,9.51,9.66,10.24,9.48,63.13,9.8,8.23,9.55,10.64,#N/A N/A,1.7103,2.1329,1.6895,1.1513
2/2/2005,4.5335,83.54,421.97,6.755,46.69,#N/A N/A,#N/A N/A,#N/A N/A,14.08,8.11,13.08,1/24/1900,36.17,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,9.08,12.05,26.7,42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,90688,#N/A N/A,#N/A N/A,#N/A N/A,11.66,1193.18,3022.35,4296.31,11407.14,#N/A N/A,1387790464,791517312,107196768,1038618240,#N/A N/A,12.5873,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.6295,#N/A N/A,#N/A N/A,#N/A N/A,52.82,8.14,7.87,9.43,7.1,63.43,9.45,8.23,9.6,9.91,#N/A N/A,1.9353,1.2971,1.9205,1.1648
2/3/2005,4.5415,83.93,417.2,6.67,46.45,#N/A N/A,#N/A N/A,#N/A N/A,13.93,7.44,12.22,1/15/1900,29.56,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,8.75,12.36,26.94,42.03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,76401,#N/A N/A,#N/A N/A,#N/A N/A,11.79,1189.89,3010.39,4281.64,11389.35,#N/A N/A,1324172288,651785856,96153584,1027934336,#N/A N/A,12.5406,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.5255,#N/A N/A,#N/A N/A,#N/A N/A,44.93,7.13,8.72,9.71,6.59,63.44,9.4,8.36,9.51,9.93,#N/A N/A,2.2573,1.4802,1.5269,0.8688
2/4/2005,4.465,84.39,414.7,6.625,46.48,#N/A N/A,#N/A N/A,#N/A N/A,16.65,7.78,12.21,1/15/1900,29.09,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,8.47,12.28,26.55,40.67,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,80668,#N/A N/A,#N/A N/A,#N/A N/A,11.21,1203.03,3037.13,4339.28,11360.4,#N/A N/A,1374914432,913397184,98020888,890483072,#N/A N/A,12.1694,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.9311,#N/A N/A,#N/A N/A,#N/A N/A,39.16,7.66,9,11.03,6.63,65.03,10.01,8.65,10.27,9.98,#N/A N/A,1.7574,1.2803,1.436,1.172
2/7/2005,4.434,85.12,413.4,6.515,45.28,#N/A N/A,#N/A N/A,#N/A N/A,12.77,7.67,11,1/14/1900,27.52,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,8.72,12.28,26.85,41.51,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,111575,#N/A N/A,#N/A N/A,#N/A N/A,11.73,1201.72,3051.97,4366.35,11499.86,#N/A N/A,1109938176,770487168,90195168,726719424,#N/A N/A,12.225,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.9543,#N/A N/A,#N/A N/A,#N/A N/A,55.26,8.07,8.81,10.89,8.91,62.07,9.94,8.69,10.3,10.37,#N/A N/A,1.8212,0.824,0.8578,1.2005
2/8/2005,4.391,85.1,412.7,6.56,45.4,#N/A N/A,#N/A N/A,#N/A N/A,13.04,5.17,7.68,1/12/1900,27.91,#N/A N/A,#N/A N/A,#N/A N/A,1/13/1900,8.74,11.47,25.7,35.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104794,#N/A N/A,#N/A N/A,#N/A N/A,11.6,1202.3,3055.89,4371.39,11490.43,#N/A N/A,1232517504,638436288,83095680,1054979648,#N/A N/A,12.0556,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.8033,#N/A N/A,#N/A N/A,#N/A N/A,53.25,8.11,8.56,9.88,8.05,62.06,9.68,8.67,10.17,9.56,#N/A N/A,2.5783,1.1122,1.4495,1.5033
2/9/2005,4.352,84.91,413.35,6.595,45.46,#N/A N/A,#N/A N/A,#N/A N/A,12.05,5.73,8.13,1/13/1900,27.92,#N/A N/A,#N/A N/A,#N/A N/A,1/12/1900,8.65,11.4,25.77,35.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,146329,#N/A N/A,#N/A N/A,#N/A N/A,12,1191.99,3044.36,4353.15,11473.35,#N/A N/A,1269538432,597182848,115269936,1112363008,#N/A N/A,12.3023,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.3064,#N/A N/A,#N/A N/A,#N/A N/A,59.75,10.12,9.39,10.72,7.82,62.15,10,8.78,10.21,9.58,#N/A N/A,2.6599,1.6815,1.7265,1.0947
2/10/2005,4.4495,84.54,417.8,6.935,47.1,#N/A N/A,#N/A N/A,#N/A N/A,17.96,6.66,10.91,1/31/1900,31.38,#N/A N/A,#N/A N/A,#N/A N/A,1/14/1900,8.82,11.99,30,34.91,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,113473,#N/A N/A,#N/A N/A,#N/A N/A,11.51,1197.01,3044,4342.01,11553.56,#N/A N/A,1250619648,581134976,102122136,1122044160,#N/A N/A,12.0383,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.1342,#N/A N/A,#N/A N/A,#N/A N/A,61.45,9.83,8.39,10.53,8.1,58.66,10.1,8.78,10.25,9.67,#N/A N/A,1.4651,1.2339,1.2981,2.5514
